IP Address,Identity,WIFI MAC,Board,Model
172.22.71.220,AP-1 Store Ex,D4:CA:6D:9E:29:B3,RB912UAG-2HPnD,BaseBox2
172.22.71.219,AP-1 New namontabagh,4C:5E:0C:35:20:4B,RB912UAG-2HPnD,BaseBox2
172.22.71.216,AP-1 Namontabagh,D4:CA:6D:83:B7:03,RB912UAG-2HPnD,BaseBox2
172.22.71.217,AP-1 Kaf,D4:CA:6D:9E:29:BB,RB912UAG-2HPnD,BaseBox2
172.22.71.218,AP-1 Imeni New,6C:3B:6B:BA:96:91,RB912UAG-2HPnD,BaseBox2
172.22.71.214,AP-1 IT,4C:5E:0C:33:F7:95,RB912UAG-2HPnD,BaseBox2
172.22.71.208,AP-1 Acom,4C:5E:0C:3F:79:D9,RB912UAG-2HPnD,BaseBox2
172.22.71.212,AP-1 3-2,4C:5E:0C:35:1D:4D,RB912UAG-2HPnD,BaseBox2
172.22.71.211,AP-1 3-1,4C:5E:0C:33:F9:6F,RB912UAG-2HPnD,BaseBox2
172.22.71.209,AP-1 2-6 Takmil Kari,D4:CA:6D:19:C9:CD,RB912UAG-2HPnD,BaseBox2
172.22.71.207,AP-1 2-4,4C:5E:0C:3F:7B:17,RB912UAG-2HPnD,BaseBox2
172.22.71.206,AP-1 2-3,4C:5E:0C:73:D6:4E,RB912UAG-2HPnD,BaseBox2
172.22.71.205,AP-1 2-2 Shower Test,4C:5E:0C:33:F7:93,RB912UAG-2HPnD,BaseBox2
172.22.71.203,AP-1 14-Administration-3,4C:5E:0C:35:1E:A9,RB912UAG-2HPnD,BaseBox2
172.22.71.202,AP- 1 Mohandesi,6C:3B:6B:BA:96:8D,RB912UAG-2HPnD,BaseBox2
172.22.71.154,AP-1 17-Confrance Modiriat,D4:CA:6D:B4:68:97,RB751U-2HnD,
172.22.71.152,AP-1 13-Administration-2,D4:CA:6D:B6:43:93,RB751U-2HnD,
172.22.71.151,AP-1 12-Administration-1,D4:CA:6D:96:77:75,RB751U-2HnD,
172.22.71.221,AP-1 Body Conex,E4:8D:8C:54:D8:45,RB951G-2HnD,
172.22.71.150,AP-1 20-Gate3,D4:CA:6D:7A:8E:D3,RB Metal 2SHPn,Metal
